customer_id,split,actual_subscription,subscription_label,predicted_probability,predicted_probability_x10000,predicted_probability_display,score_rank,score_percentile,selected_policy_flag,recommendation_group,score_band,score_band_tableau,age,job,marital,education,contact,month,campaign,previous,poutcome,recommended_top_5,recommended_top_10,recommended_top_15,recommended_top_20,recommended_top_25,recommended_top_30,predicted_label_0_5
test_003812,test,1,Subscribed,0.97976035,9798,97.98%,1,1.0,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,60,admin.,married,university.degree,cellular,jul,1,2,success,1,1,1,1,1,1,1
test_000117,test,1,Subscribed,0.9789079,9789,97.89%,2,0.9997462572951028,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,80,housemaid,married,basic.4y,cellular,apr,1,1,success,1,1,1,1,1,1,1
test_003151,test,1,Subscribed,0.9778569,9779,97.79%,3,0.9994925145902056,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,80,retired,divorced,basic.4y,cellular,apr,1,2,success,1,1,1,1,1,1,1
test_002892,test,1,Subscribed,0.97317785,9732,97.32%,4,0.9992387718853084,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,36,admin.,married,university.degree,cellular,may,1,2,success,1,1,1,1,1,1,1
test_002118,test,1,Subscribed,0.97259474,9726,97.26%,5,0.9989850291804112,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,36,admin.,single,university.degree,cellular,jun,1,1,success,1,1,1,1,1,1,1
test_003386,test,1,Subscribed,0.97234195,9723,97.23%,6,0.9987312864755138,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,34,admin.,married,university.degree,cellular,jun,1,2,success,1,1,1,1,1,1,1
test_002420,test,1,Subscribed,0.97217786,9722,97.22%,7,0.9984775437706166,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,24,student,single,professional.course,cellular,jul,2,3,success,1,1,1,1,1,1,1
test_000264,test,1,Subscribed,0.9720408,9720,97.20%,8,0.9982238010657194,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,48,admin.,divorced,high.school,cellular,jun,1,1,success,1,1,1,1,1,1,1
test_002055,test,1,Subscribed,0.971798,9718,97.18%,9,0.997970058360822,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,26,student,single,university.degree,cellular,nov,1,1,success,1,1,1,1,1,1,1
test_002710,test,1,Subscribed,0.9717723,9718,97.18%,10,0.9977163156559248,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,55,unemployed,divorced,university.degree,cellular,mar,3,3,success,1,1,1,1,1,1,1
test_002861,test,1,Subscribed,0.97166663,9717,97.17%,11,0.9974625729510276,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,53,housemaid,married,university.degree,cellular,apr,1,1,success,1,1,1,1,1,1,1
test_000379,test,1,Subscribed,0.97149855,9715,97.15%,12,0.9972088302461304,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,42,admin.,single,high.school,cellular,sep,1,1,success,1,1,1,1,1,1,1
test_000990,test,1,Subscribed,0.9714201,9714,97.14%,13,0.9969550875412332,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,41,technician,divorced,university.degree,cellular,mar,1,1,success,1,1,1,1,1,1,1
