split,contact_rate_order,contact_rate_label,targeted_customers,captured_subscribers,total_subscribers,false_positives,missed_subscribers,score_cutoff_x10000,score_cutoff_display,metric,metric_type,metric_value_x10000,metric_display
validation,5,Top 5%,197,127,460,70,333,8674,86.74%,Precision@k,Percent,6447,64.47%
validation,5,Top 5%,197,127,460,70,333,8674,86.74%,Capture Rate@k,Percent,2761,27.61%
validation,5,Top 5%,197,127,460,70,333,8674,86.74%,Lift@k,Lift,552,5.52x
validation,10,Top 10%,394,200,460,194,260,7944,79.44%,Precision@k,Percent,5076,50.76%
validation,10,Top 10%,394,200,460,194,260,7944,79.44%,Capture Rate@k,Percent,4348,43.48%
validation,10,Top 10%,394,200,460,194,260,7944,79.44%,Lift@k,Lift,435,4.35x
validation,15,Top 15%,591,265,460,326,195,6289,62.89%,Precision@k,Percent,4484,44.84%
validation,15,Top 15%,591,265,460,326,195,6289,62.89%,Capture Rate@k,Percent,5761,57.61%
validation,15,Top 15%,591,265,460,326,195,6289,62.89%,Lift@k,Lift,384,3.84x
validation,20,Top 20%,788,296,460,492,164,4977,49.77%,Precision@k,Percent,3756,37.56%
validation,20,Top 20%,788,296,460,492,164,4977,49.77%,Capture Rate@k,Percent,6435,64.35%
validation,20,Top 20%,788,296,460,492,164,4977,49.77%,Lift@k,Lift,322,3.22x
validation,25,Top 25%,985,314,460,671,146,4323,43.23%,Precision@k,Percent,3188,31.88%
validation,25,Top 25%,985,314,460,671,146,4323,43.23%,Capture Rate@k,Percent,6826,68.26%
validation,25,Top 25%,985,314,460,671,146,4323,43.23%,Lift@k,Lift,273,2.73x
validation,30,Top 30%,1182,331,460,851,129,3996,39.96%,Precision@k,Percent,2800,28.00%
validation,30,Top 30%,1182,331,460,851,129,3996,39.96%,Capture Rate@k,Percent,7196,71.96%
validation,30,Top 30%,1182,331,460,851,129,3996,39.96%,Lift@k,Lift,240,2.40x
test,5,Top 5%,198,141,460,57,319,8561,85.61%,Precision@k,Percent,7121,71.21%
test,5,Top 5%,198,141,460,57,319,8561,85.61%,Capture Rate@k,Percent,3065,30.65%
test,5,Top 5%,198,141,460,57,319,8561,85.61%,Lift@k,Lift,610,6.10x
test,10,Top 10%,395,210,460,185,250,7810,78.10%,Precision@k,Percent,5316,53.16%
test,10,Top 10%,395,210,460,185,250,7810,78.10%,Capture Rate@k,Percent,4565,45.65%
test,10,Top 10%,395,210,460,185,250,7810,78.10%,Lift@k,Lift,455,4.55x
test,15,Top 15%,592,272,460,320,188,6283,62.83%,Precision@k,Percent,4595,45.95%
test,15,Top 15%,592,272,460,320,188,6283,62.83%,Capture Rate@k,Percent,5913,59.13%
test,15,Top 15%,592,272,460,320,188,6283,62.83%,Lift@k,Lift,394,3.94x
test,20,Top 20%,789,298,460,491,162,5032,50.32%,Precision@k,Percent,3777,37.77%
test,20,Top 20%,789,298,460,491,162,5032,50.32%,Capture Rate@k,Percent,6478,64.78%
test,20,Top 20%,789,298,460,491,162,5032,50.32%,Lift@k,Lift,324,3.24x
test,25,Top 25%,986,319,460,667,141,4329,43.29%,Precision@k,Percent,3235,32.35%
test,25,Top 25%,986,319,460,667,141,4329,43.29%,Capture Rate@k,Percent,6935,69.35%
test,25,Top 25%,986,319,460,667,141,4329,43.29%,Lift@k,Lift,277,2.77x
test,30,Top 30%,1183,329,460,854,131,3967,39.67%,Precision@k,Percent,2781,27.81%
test,30,Top 30%,1183,329,460,854,131,3967,39.67%,Capture Rate@k,Percent,7152,71.52%
test,30,Top 30%,1183,329,460,854,131,3967,39.67%,Lift@k,Lift,238,2.38x
