model_name,feature,importance,importance_type
xgboost,numerical__nr.employed,0.3558824,feature_importance
xgboost,numerical__emp.var.rate,0.095122844,feature_importance
xgboost,numerical__was_previously_contacted,0.045132972,feature_importance
xgboost,categorical__month_oct,0.030390263,feature_importance
xgboost,categorical__poutcome_success,0.027533093,feature_importance
xgboost,numerical__cons.conf.idx,0.02594066,feature_importance
xgboost,categorical__month_mar,0.022843217,feature_importance
xgboost,numerical__cons.price.idx,0.020863976,feature_importance
xgboost,numerical__euribor3m,0.017993316,feature_importance
xgboost,categorical__contact_telephone,0.016390815,feature_importance
xgboost,categorical__default_unknown,0.014687251,feature_importance
xgboost,categorical__default_no,0.014329131,feature_importance
xgboost,categorical__poutcome_failure,0.013146912,feature_importance
xgboost,categorical__contact_cellular,0.012963976,feature_importance
xgboost,numerical__pdays_clean,0.011760095,feature_importance
xgboost,categorical__day_of_week_fri,0.010421619,feature_importance
xgboost,categorical__month_may,0.010111908,feature_importance
xgboost,categorical__month_sep,0.009720334,feature_importance
xgboost,categorical__month_nov,0.008156309,feature_importance
xgboost,categorical__month_apr,0.0075064492,feature_importance
xgboost,categorical__job_services,0.006847121,feature_importance
xgboost,categorical__job_blue-collar,0.0068267896,feature_importance
xgboost,categorical__job_retired,0.006735227,feature_importance
xgboost,categorical__job_student,0.006580811,feature_importance
xgboost,numerical__age,0.006538675,feature_importance
xgboost,categorical__education_university.degree,0.0065328577,feature_importance
xgboost,numerical__campaign,0.0065145465,feature_importance
xgboost,categorical__month_jul,0.006460856,feature_importance
xgboost,categorical__day_of_week_mon,0.0064365915,feature_importance
xgboost,categorical__poutcome_nonexistent,0.0064010066,feature_importance
xgboost,categorical__job_technician,0.0063418555,feature_importance
xgboost,categorical__day_of_week_tue,0.0063311146,feature_importance
xgboost,categorical__day_of_week_wed,0.0062983218,feature_importance
xgboost,categorical__loan_no,0.006281294,feature_importance
xgboost,categorical__marital_married,0.0060886573,feature_importance
xgboost,categorical__month_dec,0.006037652,feature_importance
xgboost,categorical__job_housemaid,0.0058632013,feature_importance
xgboost,categorical__housing_yes,0.005773841,feature_importance
xgboost,categorical__day_of_week_thu,0.005750689,feature_importance
xgboost,categorical__job_self-employed,0.0057431026,feature_importance
xgboost,categorical__job_unemployed,0.0057295663,feature_importance
xgboost,categorical__job_admin.,0.005636685,feature_importance
xgboost,categorical__month_aug,0.005026474,feature_importance
xgboost,categorical__education_unknown,0.0049788435,feature_importance
xgboost,categorical__housing_no,0.0049563823,feature_importance
xgboost,categorical__education_basic.4y,0.004939552,feature_importance
xgboost,categorical__loan_yes,0.004891342,feature_importance
xgboost,categorical__housing_unknown,0.004830911,feature_importance
xgboost,categorical__marital_unknown,0.0048082313,feature_importance
xgboost,categorical__month_jun,0.0047622775,feature_importance
xgboost,categorical__marital_divorced,0.0047480525,feature_importance
xgboost,categorical__job_management,0.004732457,feature_importance
xgboost,categorical__loan_unknown,0.0046951016,feature_importance
xgboost,categorical__job_unknown,0.004647623,feature_importance
xgboost,categorical__marital_single,0.004634287,feature_importance
xgboost,categorical__education_professional.course,0.004582058,feature_importance
xgboost,numerical__previous,0.0044667004,feature_importance
xgboost,categorical__education_basic.9y,0.0044596195,feature_importance
xgboost,categorical__education_high.school,0.004453559,feature_importance
xgboost,categorical__education_basic.6y,0.0043777335,feature_importance
xgboost,categorical__job_entrepreneur,0.0039883438,feature_importance
xgboost,categorical__education_illiterate,0.0023725133,feature_importance
xgboost,categorical__default_yes,0.0,feature_importance
